t,l,x,y,z,Unnamed: 5
517,1,-0.99,-0.05,0.0,
519,1,-0.98,-0.04,0.0,
521,1,-0.98,-0.04,0.0,
522,1,-0.98,-0.04,0.0,
524,1,-0.98,-0.04,0.0,
526,1,-0.98,-0.04,0.0,
527,1,-0.98,-0.03,0.03,
529,1,-0.98,-0.03,0.03,
531,1,-0.98,-0.03,0.03,
532,1,-0.98,-0.03,0.03,
534,1,-0.98,-0.03,0.03,
536,1,-0.98,-0.03,0.03,
537,1,-0.96,-0.01,0.04,
539,1,-0.96,-0.01,0.04,
540,1,-0.96,-0.01,0.04,
542,1,-0.96,-0.01,0.04,
544,1,-0.96,-0.01,0.04,
545,1,-0.96,-0.01,0.04,
547,1,-0.96,-0.02,0.02,
549,1,-0.96,-0.02,0.02,
550,1,-0.96,-0.02,0.02,
552,1,-0.96,-0.02,0.02,
554,1,-0.96,-0.02,0.02,
555,1,-0.96,-0.02,0.02,
557,1,-0.97,-0.03,0.0,
559,1,-0.97,-0.03,0.0,
560,1,-0.97,-0.03,0.0,
562,1,-0.97,-0.03,0.0,
564,1,-0.97,-0.03,0.0,
565,1,-0.97,-0.03,0.0,
567,1,-0.97,-0.03,-0.04,
569,1,-0.97,-0.03,-0.04,
570,1,-0.97,-0.03,-0.04,
572,1,-0.97,-0.03,-0.04,
574,1,-0.97,-0.03,-0.04,
575,1,-0.97,-0.03,-0.04,
577,1,-0.98,-0.03,-0.06,
579,1,-0.98,-0.03,-0.06,
580,1,-0.98,-0.03,-0.06,
582,1,-0.98,-0.03,-0.06,
584,1,-0.98,-0.03,-0.06,
585,1,-0.98,-0.03,-0.05,
587,1,-0.99,-0.02,-0.05,
589,1,-0.99,-0.02,-0.05,
590,1,-0.99,-0.02,-0.05,
592,1,-0.99,-0.02,-0.05,
594,1,-0.99,-0.02,-0.05,
595,1,-0.99,0.01,-0.11,
597,1,-1.01,0.01,-0.11,
599,1,-1.01,0.01,-0.11,
600,1,-1.01,0.01,-0.11,
602,1,-1.01,0.01,-0.11,
604,1,-1.01,0.01,-0.11,
605,1,-1.02,0.11,-0.19,
607,1,-1.02,0.11,-0.19,
609,1,-1.02,0.11,-0.19,
610,1,-1.02,0.11,-0.19,
612,1,-1.02,0.11,-0.19,
614,1,-1.02,0.11,-0.19,
616,1,-1.03,0.15,-0.28,
617,1,-1.03,0.15,-0.28,
619,1,-1.03,0.15,-0.28,
621,1,-1.03,0.15,-0.28,
622,1,-1.03,0.15,-0.28,
624,1,-1.03,0.15,-0.28,
626,1,-1.14,0.16,-0.38,
627,1,-1.14,0.16,-0.38,
629,1,-1.14,0.16,-0.38,
631,1,-1.14,0.16,-0.38,
632,1,-1.14,0.16,-0.38,
634,1,-1.14,0.16,-0.38,
636,1,-1.4,-0.09,-0.82,
637,1,-1.4,-0.09,-0.82,
639,1,-1.4,-0.09,-0.82,
641,1,-1.4,-0.09,-0.82,
643,1,-1.4,-0.09,-0.82,
644,1,-1.4,-0.34,-1.27,
646,1,-1.48,-0.28,-1.27,
648,1,-1.48,-0.28,-1.27,
649,1,-1.48,-0.28,-1.27,
651,1,-1.48,-0.28,-1.27,
653,1,-1.48,-0.28,-1.27,
654,1,-1.53,-0.48,-1.63,
656,1,-1.53,-0.48,-1.63,
658,1,-1.53,-0.48,-1.63,
659,1,-1.53,-0.48,-1.63,
661,1,-1.53,-0.48,-1.63,
663,1,-1.53,-0.48,-1.63,
664,1,-1.56,-0.51,-1.94,
666,1,-1.56,-0.51,-1.94,
668,1,-1.56,-0.51,-1.94,
670,1,-1.56,-0.51,-1.94,
671,1,-1.56,-0.51,-1.94,
673,1,-1.56,-0.51,-1.94,
675,1,-1.57,-0.55,-2.11,
676,1,-1.57,-0.55,-2.11,
678,1,-1.57,-0.55,-2.11,
680,1,-1.57,-0.55,-2.11,
681,1,-1.57,-0.55,-2.11,
683,1,-1.57,-0.55,-2.11,
685,1,-1.43,-0.53,-2.13,
686,1,-1.43,-0.53,-2.13,
688,1,-1.43,-0.53,-2.13,
690,1,-1.43,-0.53,-2.13,
691,1,-1.43,-0.53,-2.13,
693,1,-1.43,-0.49,-1.99,
695,1,-1.17,-0.49,-1.99,
697,1,-1.17,-0.49,-1.99,
698,1,-1.17,-0.49,-1.99,
700,1,-1.17,-0.49,-1.99,
