t,l,x,y,z,
2759926,0,-0.98,-0.05,-0.03,
2759928,0,-0.99,-0.06,-0.02,
2759929,0,-0.99,-0.06,-0.02,
2759931,0,-0.99,-0.06,-0.02,
2759933,0,-0.99,-0.06,-0.02,
2759934,0,-0.99,-0.06,-0.02,
2759936,0,-0.99,-0.06,-0.02,
2759938,0,-0.98,-0.04,-0.02,
2759939,0,-0.98,-0.04,-0.02,
2759941,0,-0.98,-0.04,-0.02,
2759943,0,-0.98,-0.04,-0.02,
2759944,0,-0.98,-0.04,-0.02,
2759946,0,-0.98,-0.04,-0.02,
2759948,0,-0.97,-0.02,-0.01,
2759949,0,-0.97,-0.02,-0.01,
2759951,0,-0.97,-0.02,-0.01,
2759953,0,-0.97,-0.02,-0.01,
2759954,0,-0.97,-0.02,-0.01,
2759956,0,-0.97,-0.02,0.02,
2759958,0,-0.97,-0.02,0.02,
2759959,0,-0.97,-0.02,0.02,
2759961,0,-0.97,-0.02,0.02,
2759963,0,-0.97,-0.02,0.02,
2759964,0,-0.97,-0.02,0.02,
2759966,0,-0.98,-0.04,0.01,
2759968,0,-0.98,-0.04,0.01,
2759969,0,-0.98,-0.04,0.01,
2759971,0,-0.98,-0.04,0.01,
2759973,0,-0.98,-0.04,0.01,
2759974,0,-0.98,-0.04,0.01,
2759976,0,-1,-0.05,0,
2759978,0,-1,-0.05,0,
2759979,0,-1,-0.05,0,
2759981,0,-1,-0.05,0,
2759983,0,-1,-0.05,0,
2759984,0,-1,-0.05,0,
2759986,0,-0.99,-0.06,0.01,
2759988,0,-0.99,-0.06,0.01,
2759989,0,-0.99,-0.06,0.01,
2759991,0,-0.99,-0.06,0.01,
2759993,0,-0.99,-0.06,0.01,
2759994,0,-0.99,-0.06,0.01,
2759996,0,-0.98,-0.04,0,
2759998,0,-0.98,-0.04,0,
2759999,0,-0.98,-0.04,0,
2760001,0,-0.98,-0.04,0,
2760003,0,-0.98,-0.04,0,
2760004,0,-0.98,-0.04,0,
2760006,0,-0.98,-0.02,-0.02,
2760008,0,-0.98,-0.02,-0.02,
2760009,0,-0.98,-0.02,-0.02,
2760011,0,-0.98,-0.02,-0.02,
2760013,0,-0.98,-0.02,-0.02,
2760014,0,-0.98,-0.02,-0.02,
2760016,0,-0.97,-0.02,-0.02,
2760018,0,-0.97,-0.02,-0.02,
2760020,0,-0.97,-0.02,-0.02,
2760021,0,-0.97,-0.02,-0.02,
2760023,0,-0.97,-0.02,-0.02,
2760025,0,-0.97,-0.03,-0.02,
2760026,0,-0.98,-0.03,-0.02,
2760028,0,-0.98,-0.03,-0.02,
2760030,0,-0.98,-0.03,-0.02,
2760031,0,-0.98,-0.03,-0.02,
2760033,0,-0.98,-0.03,-0.02,
2760035,0,-0.98,-0.02,-0.03,
2760036,0,-0.98,-0.02,-0.03,
2760038,0,-0.98,-0.02,-0.03,
2760040,0,-0.98,-0.02,-0.03,
2760041,0,-0.98,-0.02,-0.03,
2760043,0,-0.98,-0.02,-0.03,
2760045,0,-0.97,-0.02,-0.02,
2760046,0,-0.97,-0.02,-0.02,
2760048,0,-0.97,-0.02,-0.02,
2760050,0,-0.97,-0.02,-0.02,
2760051,0,-0.97,-0.02,-0.02,
2760053,0,-0.97,-0.02,-0.02,
2760055,0,-0.97,-0.02,0.02,
2760056,0,-0.97,-0.02,0.02,
2760058,0,-0.97,-0.02,0.02,
2760060,0,-0.97,-0.02,0.02,
2760061,0,-0.97,-0.02,0.02,
2760063,0,-0.97,-0.02,0.02,
2760065,0,-0.98,0,0.04,
2760066,0,-0.98,0,0.04,
2760068,0,-0.98,0,0.04,
2760070,0,-0.98,0,0.04,
2760071,0,-0.98,0,0.04,
2760073,0,-0.98,0,0.04,
2760075,0,-0.95,0.02,0.07,
2760076,0,-0.95,0.02,0.07,
2760078,0,-0.95,0.02,0.07,
2760080,0,-0.95,0.02,0.07,
2760081,0,-0.95,0.02,0.07,
2760083,0,-0.95,0.02,0.13,
2760085,0,-0.96,0.03,0.13,
2760086,0,-0.96,0.03,0.13,
2760088,0,-0.96,0.03,0.13,
2760090,0,-0.96,0.03,0.13,
2760091,0,-0.96,0.03,0.13,
2760093,0,-0.96,0.06,0.19,
2760095,0,-0.95,0.06,0.19,
2760096,0,-0.95,0.06,0.19,
2760098,0,-0.95,0.06,0.19,
2760099,0,-0.95,0.06,0.19,
2760101,0,-0.95,0.06,0.19,
2760103,0,-0.96,0.06,0.22,
2760104,0,-0.96,0.06,0.22,
2760106,0,-0.96,0.06,0.22,
2760108,0,-0.96,0.06,0.22,
2760110,0,-0.96,0.06,0.22,
2760111,0,-0.96,0.06,0.22,
2760113,0,-0.98,0.04,0.25,
2760115,0,-0.98,0.04,0.25,
2760116,0,-0.98,0.04,0.25,
2760118,0,-0.98,0.04,0.25,
2760120,0,-0.98,0.04,0.25,
2760121,0,-0.98,0.04,0.25,
2760123,0,-0.99,0.02,0.25,
2760125,0,-0.99,0.02,0.25,
2760126,0,-0.99,0.02,0.25,
2760128,0,-0.99,0.02,0.25,
2760130,0,-0.99,0.02,0.25,
2760131,0,-0.99,0.02,0.25,
2760133,0,-1,0.01,0.24,
2760135,0,-1,0.01,0.24,
2760136,0,-1,0.01,0.24,
2760138,0,-1,0.01,0.24,
2760140,0,-1,0.01,0.24,
2760141,0,-1,0.01,0.24,
2760143,0,-0.98,0.01,0.2,
2760145,0,-0.98,0.01,0.2,
2760146,0,-0.98,0.01,0.2,
2760148,0,-0.98,0.01,0.2,
2760150,0,-0.98,0.01,0.2,
2760151,0,-0.98,0.01,0.14,
2760153,0,-0.96,0.02,0.14,
2760155,0,-0.96,0.02,0.14,
2760156,0,-0.96,0.02,0.14,
2760158,0,-0.96,0.02,0.14,
2760160,0,-0.96,0.02,0.14,
2760161,0,-0.96,0.03,0.08,
2760163,0,-0.96,0.03,0.08,
2760165,0,-0.96,0.03,0.08,
2760166,0,-0.96,0.03,0.08,
2760168,0,-0.96,0.03,0.08,
2760169,0,-0.96,0.03,0.08,
2760171,0,-0.96,0.04,0.04,
2760173,0,-0.96,0.04,0.04,
2760174,0,-0.96,0.04,0.04,
2760176,0,-0.96,0.04,0.04,
2760178,0,-0.96,0.04,0.04,
2760179,0,-0.96,0.04,0.04,
2760181,0,-0.96,0.03,0.02,
2760183,0,-0.96,0.03,0.02,
2760184,0,-0.96,0.03,0.02,
2760186,0,-0.96,0.03,0.02,
2760188,0,-0.96,0.03,0.02,
2760189,0,-0.96,0.03,0.02,
2760191,0,-0.96,0.02,0.01,
2760193,0,-0.96,0.02,0.01,
2760194,0,-0.96,0.02,0.01,
2760196,0,-0.96,0.02,0.01,
2760198,0,-0.96,0.02,0.01,
2760199,0,-0.96,0.02,0.01,
2760201,0,-0.98,0.01,0.03,
2760202,0,-0.98,0.01,0.03,
2760204,0,-0.98,0.01,0.03,
2760206,0,-0.98,0.01,0.03,
2760207,0,-0.98,0.01,0.03,
2760209,0,-0.98,0.01,0.03,
2760211,0,-0.99,0.01,0.04,
2760212,0,-0.99,0.01,0.04,
2760214,0,-0.99,0.01,0.04,
2760216,0,-0.99,0.01,0.04,
2760217,0,-0.99,0.01,0.04,
2760219,0,-0.99,0.01,0.04,
2760221,0,-0.98,0.01,0.05,
2760222,0,-0.98,0.01,0.05,
2760224,0,-0.98,0.01,0.05,
2760226,0,-0.98,0.01,0.05,
2760227,0,-0.98,0.01,0.05,
2760229,0,-0.98,0.01,0.05,
2760231,0,-0.96,0.02,0.06,
2760232,0,-0.96,0.02,0.06,
2760234,0,-0.96,0.02,0.06,
2760235,0,-0.96,0.02,0.06,
2760237,0,-0.96,0.02,0.06,
2760239,0,-0.96,0.02,0.06,
2760240,0,-0.96,0.04,0.08,
2760242,0,-0.96,0.04,0.08,
2760244,0,-0.96,0.04,0.08,
2760245,0,-0.96,0.04,0.08,
2760247,0,-0.96,0.04,0.08,
2760249,0,-0.96,0.04,0.08,
2760250,0,-0.96,0.05,0.11,
2760252,0,-0.96,0.05,0.11,
2760254,0,-0.96,0.05,0.11,
2760255,0,-0.96,0.05,0.11,
2760257,0,-0.96,0.05,0.11,
2760259,0,-0.96,0.05,0.11,
2760260,0,-0.96,0.07,0.12,
2760262,0,-0.96,0.07,0.12,
2760264,0,-0.96,0.07,0.12,
2760265,0,-0.96,0.07,0.12,
2760267,0,-0.96,0.07,0.12,
2760269,0,-0.96,0.07,0.14,
2760270,0,-0.95,0.07,0.14,
2760272,0,-0.95,0.07,0.14,
2760274,0,-0.95,0.07,0.14,
2760275,0,-0.95,0.07,0.14,
2760277,0,-0.95,0.07,0.14,
2760279,0,-0.95,0.06,0.13,
